bank_name,assessment,excerpts
ABN Amro,"Commitment: yes
Material exceptions: 
- CP.EX.6: expansion of existing plants.
Technical exceptions: none
Mitigated exceptions: none","New coal-fired power plants

[p1; Exclusion list (Mar 2021); https://assets.ctfassets.net/1u811bvgvthc/VJtezrhOlLtc4EWCWHlGH/f2ab66da23348553daf042fadd7614ed/ABN_AMRO_Exclusion_List-20211125.pdf]"
Barclays,"Commitment: yes
Material exceptions: 
- CP.EX.4: eexpansion that doesn't increase production by more than 10%.
- CP.EX.9: expansion that results from mergers or acquisitions.  
Technical exceptions: none
Mitigated exceptions: none","No project finance to enable the construction or material expansion of thermal coal-fired power plants anywhere in the world, including captives.

[p6; Climate Change Statement (Feb 2024); https://home.barclays/content/dam/home-barclays/documents/citizenship/our-reporting-and-policy-positions/Climate-Change-Statement.pdf]

Material expansion: In relation to Thermal Coal Power, production refers to an investment to (i) extend the unabated operating lifetime of existing thermal coal power plants including captives or (ii) increase net operational thermal power capacity, including captives, by more than 10% measure from a baseline of maximum capacity for preceding 3 years reported. Material expansion in such cases relates to absolute global increases rather than increases for an entity or Group as a result of mergers or acquisitions.

[p11; Climate Change Statement (Feb 2024); https://home.barclays/content/dam/home-barclays/documents/citizenship/our-reporting-and-policy-positions/Climate-Change-Statement.pdf]"
BBVA,"Commitment: yes
Material exceptions: none
Technical exceptions: none
Mitigated exceptions: none","BBVA will not finance new projects for the construction of new thermal coal-fired power plants, including new self-consumption plants, or for the expansion of an existing thermal coal-fired power plant (regardless of the type of client).

[p8; Environmental and Social Framework (Dec 2024); https://shareholdersandinvestors.bbva.com/wp-content/uploads/2025/03/Environmental-and-Social-Framework-BBVA_ENG.pdf]"
BNP Paribas,"Commitment: yes
Material exceptions: none
Technical exceptions: none
Mitigated exceptions: none","BNP Paribas does not provide financial products and services to new CFPP projects wherever they are located, as well as to brownfield retrofit CFPP projects seeking lifetime extension or capacity increase.

[p5; Sector policy - Coal-fired power generation (May 2023); https://cdn-group.bnpparibas.com/uploads/file/bnpparibas_csr_sector_policy_coal_fired_power_generation.pdf]"
BPCE,"Commitment: yes
Material exceptions: none
Technical exceptions: none
Mitigated exceptions: none","Groupe BPCE will not provide any products or services related to thermal coal mining, coal-fired power plants or distribution infrastructure directly related to these plants, or thermal coal transportation infrastructure projects. This exclusion covers new developments (greenfield projects) as well as the extension or retrofit of existing operating projects (brownfield projects) or the refinancing of debt associated with such assets.

[p5; ESG sector policy thermal coal (Mar 2025); https://www.groupebpce.com/app/uploads/2025/04/250324-politiques-rse-charbon-va-01.pdf]"
CaixaBank,"Commitment: yes
Material exceptions: none
Technical exceptions: none
Mitigated exceptions: none","The Group will not assume any credit risk involving new projects that exhibit any of the following characteristics:
[…]
Specific projects to build, develop or expand coal power plants.

[p24; Principles of action in corporate policy on sustainability ESG risk management (Mar 2025); https://www.caixabank.com/deployedfiles/caixabank_com/Estaticos/PDFs/Sostenibilidad/Principles-ESG-Risks-Managing.pdf]"
Commerzbank,"Commitment: yes
Material exceptions: 
- CP.EX.8: municipal utilities.
Technical exceptions:
- CP.EX.13: modernisation and abatement of coal-fired power plants.
Mitigated exceptions: none","In the case of thermal coal, the guidelines cover the key elements of the process chain, from extraction and infrastructure to energy production in power plants.
[...]
Exclusion criteria:
Projects for the expansion or new construction of coal mines, coal infrastructure and coal-fired power plants are not financed.
[...]
Municipal utilities are excluded from the scope of the Directive due to their contribution to the security of energy supply.
[...]
Assessment criteria:
The financing of coal plant modernisation projects is critically assessed on a case-by-case basis. Factors such as life extension, decommissioning and conversion, e.g. to biomass, reduction of pollutant emissions through improved filters and CCUS (Carbon Capture, Utilisation and Storage) technologies are taken into account.

[p16-17; ESG Framework (Apr 2025); https://www.commerzbank.de/ms/documents/en/esg-framework-pdf.pdf]"
Crédit Agricole,"Commitment: yes
Material exceptions: none
Technical exceptions:
- CP.EX.15: plants with a capacity below 300 MW.
Mitigated exceptions: none","Companies that are effectively developing new thermal coal capacities (mines, coal-fired power plants or dedicated transport infrastructure) are excluded [...] With regard to the construction of new coal-fired power plants, only development projects with a capacity of more than 300 MW are considered.

[p3; Group CSR sector policy - Thermal coal (Apr 2024); https://www.credit-agricole.com/en/pdfPreview/173424]"
Crédit Mutuel,"Commitment: yes
Material exceptions: none
Technical exceptions: none
Mitigated exceptions: none","All Crédit Mutuel Alliance Fédérale entities apply the following restrictive measures:
- immediate exclusion when this policy enters into force of any financial support to companies developing activities in the coal sector throughout the value chain.

[p1; Alliance Federale sector policy coal (Feb 2024); https://cdnwmsi.e-i.com/SITW/wm/global/1.0.0/WEBA/BFCM/assets/articles/telechargements/nos-politiques-sectorielles/2.0/202402_PS-Charbon_EN-v2.pdf]"
Danske Bank,"Commitment: yes
Material exceptions: none
Technical exceptions:
- CP.EX.13: abated fossil fuels.
Mitigated exceptions: none","Danske Bank will not:
• provide financing services to thermal coal mining companies
• provide financing service to companies that generate more than 5% of their combined revenues from coalfired and/ or peat-fired power generation and heating or companies that expand coal-fired or peat-fired power generation and heating
• participate in project finance for unabated fossil fuels.
[...]
Project finance is defined as the financing of the construction of, and normally the subsequent operation of, large energy, infrastructure and production facilities projects. Project finance is a long-term structured funding arrangement in which debt repayment is primarily reliant on the project’s cash flows upon completion, with no or limited recourse to the project’s shareholders.
Regarding value chain coverage, the restrictions on coal and peat apply to utility companies. For coal specifically, the restrictions also apply to extraction by metals and mining companies.
[...]
Fossil fuels are defined as a class of hydrocarbon containing materials of biological origin occurring within the Earth’s crust that can be used as a source of energy, including coal, petroleum, natural gas, oil shales, peat, tar sands and heavy oils.

[p2; Position Statement on Fossil Fuels (February 2024); https://danskebank.com/-/media/danske-bank-com/file-cloud/2017/5/danske-bank-position-statement-fossil-fuels.pdf?rev=2ff4984388ff495a8af3699668b913b4]"
